Normrichtlinie,Stahlsorte,Duktilitätsklasse,fsm [N/mm2],ftm [N/mm2],fsk [N/mm2],ftk [N/mm2],Eud [%],fsd [N/mm2], Eud [N/mm2]
262 (2003),B500A,A,545,600,500,525,25,435,20
262 (2003),B500B,B,550,710,500,540,50,435,45
262 (2003),B450C,C,,,450-550,520-745,75,390,65
262 (2003),Topar-S 500C,C,535,640,500,675,75,435,65
162 (1989),S 235,B,,,235,360,,205, 
162 (1989),S 500 a,B,550,710,500,600,50,435,45
162 (1989),S 500 b,A,550,,500,550,,435,
162 (1989),S 500 c,B,550,630,500,580,50,435,45
162 (1989),S 500 d,A,545,600,500,550,25,435,20
162 (1989),S 550,A,610,640,550,580,,480,
162 (1968),I,B ,330,,235,360,,205,
162 (1968),IIIa,B,550,580,450,550,50,390,
162 (1968),Box-Ultra,C,,730,,,,,
162 (1968),Topar,C,,630,,,,,
162 (1968),III b,A,550,580-630,450,470,,390,
162 (1968),IV,A,,,530,560,,460, 
162 (1956),I,B ,,,235,355,,205,
162 (1956),IIa,B,440-530,530,345,410,,300,
162 (1956),Caron-Stahl,C,440-530,680,,,, ,
162 (1956),II b,B,440,610,345,510,,300,
115 (1935),normaler Stahl,B,300-330,,240,360-450,,,
115 (1935),hochwertiger Stahl,B,400-480,500,350,520-620,,,
115 (1935),Stahl 52,B,,590,,,,,